Hawk-Dove Simulation on 03-20 22-26-19,
,
1000 iterations took:;114;ms,
Seed used:;10821718,
Average:;-0.19030376,
Min:;-1.29843,
Max:;0.7495,
,
0.7495,0
0.740495,0.005
0.74165,0.01
0.745795,0.015
0.73142,0.02
0.7471,0.025
0.73892,0.03
0.735595,0.035
0.7396,0.04
0.74347997,0.045
0.7427,0.05
0.72688,0.055
0.72034,0.06
0.72662,0.065
0.70887,0.07
0.741825,0.075
0.72186,0.08
0.7137,0.085
0.73006,0.09
0.721015,0.095
0.7212,0.1
0.725305,0.105
0.70831,0.11
0.699305,0.115
0.7085,0.12
0.694,0.125
0.70531,0.13
0.69843,0.135
0.69866,0.14
0.69248,0.145
0.68555,0.15
0.68593,0.155
0.68228,0.16
0.672,0.165
0.68293,0.17
0.6653,0.175
0.70394,0.18
0.67818,0.185
0.67956,0.19
0.67501,0.195
0.6885,0.2
0.676445,0.205
0.67606,0.21
0.65701,0.215
0.65608,0.22
0.663275,0.225
0.66075,0.23
0.681105,0.235
0.65656,0.24
0.66131,0.245
0.67825,0.25
0.65508,0.255
0.64868003,0.26
0.64677,0.265
0.64297,0.27
0.6364,0.275
0.65208,0.28
0.640345,0.285
0.62171,0.29
0.64322,0.295
0.6246,0.3
0.641565,0.305
0.64909,0.31
0.611925,0.315
0.61190003,0.32
0.6242,0.325
0.63104,0.33
0.630715,0.335
0.59394,0.34
0.62211,0.345
0.6078,0.35
0.592355,0.355
0.6064,0.36
0.62800497,0.365
0.62741,0.37
0.6045,0.375
0.61068,0.38
0.62217003,0.385
0.61565,0.39
0.62138,0.395
0.6093,0.4
0.597315,0.405
0.61235,0.41
0.583385,0.415
0.58806,0.42
0.596775,0.425
0.61278,0.43
0.572395,0.435
0.586,0.44
0.588235,0.445
0.58675003,0.45
0.604975,0.455
0.55784,0.46
0.565195,0.465
0.61355,0.47
0.559625,0.475
0.56556,0.48
0.560775,0.485
0.54249,0.49
0.548375,0.495
0.545,0.5
0.53856,0.505
0.54767,0.51
0.568145,0.515
0.55726004,0.52
0.56655,0.525
0.57135004,0.53
0.534105,0.535
0.5584,0.54
0.564525,0.545
0.5489,0.55
0.54465,0.555
0.5524,0.56
0.551035,0.565
0.49873,0.57
0.539025,0.575
0.5473,0.58
0.555665,0.585
0.55091,0.59
0.54468,0.595
0.5165,0.6
0.52281,0.605
0.53484,0.61
0.54794,0.615
