Hawk-Dove Simulation on 03-21 21-49-39

1000 iterations took:;118;ms
Seed used:;15033968
Average:;0.50117224
Min:;6.627245E-05
Max:;0.9985485

averages,variable
-0.942,0.18215264,0.9247786
0.877,0.7515699,0.0012142747
0.574,0.77749693,0.6328238
0.3355,0.0894596,0.1288819
0.9965,0.9956923,0.07853364
0.2175,0.1551042,0.21065523
0.904,0.86530274,0.09274608
0.34,0.6508189,0.71066153
0.537,0.6765142,0.4024858
0.0395,0.5645393,0.8644932
0.9115,0.93600327,0.43162072
-0.157,0.12470255,0.42894158
-0.1455,0.17851967,0.42645442
0.049,0.46204096,0.6694001
0.578,0.81176186,0.82672876
0.626,0.7152526,0.35573974
-0.913,0.025289427,0.74043816
-0.3165,0.39142,0.8178318
0.7125,0.4788642,0.027222473
-0.5455,0.18607537,0.6689162
0.8985,0.8819404,0.18955259
-0.2575,0.00513063,0.35938028
0.4515,0.6162862,0.4709429
-0.014,0.5515895,0.7987429
0.036,0.31123593,0.44283608
-0.3385,0.1625709,0.5276903
-0.6755,0.28228548,0.8949151
0.5825,0.6094153,0.3083709
0.4745,0.5852055,0.3794992
0.848,0.78126085,0.062632985
0.054,0.45225155,0.63771564
0.6815,0.58159745,0.13723373
0.867,0.87590545,0.3009566
-0.1915,0.51347935,0.97410023
-0.013,0.47781593,0.7331011
-0.079,0.27923495,0.5166141
0.4865,0.41660485,0.17292291
0.596,0.71599364,0.46795836
0.3915,0.5342288,0.39146557
0.7265,0.8289984,0.63900787
0.5725,0.7879356,0.72838926
-0.0885,0.3761243,0.60316503
-0.5615,0.20048602,0.7266137
0.4125,0.35316476,0.20351824
0.9575,0.9397104,0.13103989
0.206,0.3745072,0.38367486
-0.07,0.28370848,0.51329595
-0.213,0.28308913,0.5584696
-0.5725,0.20242462,0.7234518
0.684,0.48944145,0.07603174
0.6705,0.7838766,0.54488456
-0.175,0.12858282,0.43837672
-0.449,0.37685075,0.9007801
0.283,0.69226277,0.9506772
0.2475,0.05381179,0.14803986
0.4595,0.47896844,0.268195
-0.494,0.33524442,0.87545663
0.219,0.40378383,0.37039742
0.286,0.67260695,0.839695
-1.2325,0.10697274,0.9629993
0.7665,0.80812925,0.27546743
0.494,0.7717753,0.8457118
-0.206,0.092858836,0.4147393
0.169,0.5669521,0.7743875
-0.075,0.24263747,0.45613185
0.9815,0.9766517,0.13097979
0.522,0.7581221,0.77886844
0.898,0.8141076,0.03818137
0.278,0.5586715,0.6287808
0.368,0.28686303,0.19855955
0.0875,0.09043359,0.2478109
-0.008,0.49967423,0.7382853
-0.434,0.41924468,0.95587426
0.5585,0.6985801,0.47443002
-0.2205,0.14480579,0.46398857
0.4835,0.76530445,0.8359927
-0.3725,0.07140432,0.5115038
-1.331,0.036806814,0.9695421
-0.9505,0.038507465,0.77214605
-0.3665,0.39427757,0.8788872
0.6835,0.4380911,0.023979714
0.075,0.040476035,0.20417592
-0.5405,0.11236249,0.61532235
0.614,0.5787097,0.24402972
0.486,0.47616675,0.23704135
-0.904,0.16468982,0.93953955
0.7295,0.8810328,0.7997145
0.249,0.24026546,0.2678652
0.278,0.15852869,0.19728117
0.56,0.7359351,0.59813
0.3255,0.46448198,0.3592895
-0.386,0.014879241,0.45887053
0.502,0.39731175,0.16229339
-0.078,0.21840498,0.4352371
0.337,0.6243839,0.56960046
-0.215,0.31759924,0.61837476
0.4295,0.20452183,0.11794649
0.3755,0.67361313,0.68508923
0.727,0.49234843,0.028952425
0.784,0.91092443,0.93026793
-0.5755,0.053445622,0.5694846
0.511,0.74067545,0.7458165
0.1285,0.2445261,0.34003484
0.1325,0.55819476,0.7832515
0.7365,0.716023,0.2093752
-0.697,0.123388015,0.72905546
0.3845,0.7439431,0.9213876
-0.448,0.36154822,0.849594
0.8745,0.76340723,0.022892598
0.4975,0.50443316,0.2732493
0.7635,0.7261018,0.14371131
0.9975,0.9985485,0.5387064
-0.13,0.032558497,0.29918408
0.696,0.49343762,0.03443823
0.505,0.7305251,0.73891366
-0.0155,0.30945095,0.49959588
