Hawk-Dove Simulation on 03-22 21-40-54
Iterations:;10000
Seed used:;8379968
iteration;agentOneScore;agentTwoScore
0;1;-0.70000005
1;0.5;0.5
2;-0.70000005;1
3;0.5;0.5
4;0.5;0.5
5;0.5;0.5
6;0.5;0.5
7;0.5;0.5
8;0.5;0.5
9;0.5;0.5
10;0.5;0.5
11;0.5;0.5
12;0.5;0.5
13;0.5;0.5
14;0.5;0.5
15;0.5;0.5
16;0.5;0.5
17;0.5;0.5
18;0.5;0.5
19;0.5;0.5
20;0.5;0.5
21;0.5;0.5
22;0.5;0.5
23;0.5;0.5
24;0.5;0.5
25;0.5;0.5
26;0.5;0.5
27;0.5;0.5
28;0.5;0.5
29;0.5;0.5
30;0.5;0.5
31;0.5;0.5
32;0.5;0.5
33;0.5;0.5
34;0.5;0.5
35;0.5;0.5
36;0.5;0.5
37;0.5;0.5
38;0.5;0.5
39;0.5;0.5
40;0.5;0.5
41;0.5;0.5
42;0.5;0.5
43;0.5;0.5
44;0.5;0.5
45;0.5;0.5
46;0.5;0.5
47;0.5;0.5
48;0.5;0.5
49;0.5;0.5
50;0.5;0.5
51;0.5;0.5
52;0.5;0.5
53;0.5;0.5
54;0.5;0.5
55;0.5;0.5
56;0.5;0.5
57;0.5;0.5
58;0.5;0.5
59;0.5;0.5
60;0.5;0.5
61;0.5;0.5
62;0.5;0.5
63;0.5;0.5
64;0.5;0.5
65;0.5;0.5
66;0.5;0.5
67;0.5;0.5
68;0.5;0.5
69;0.5;0.5
70;0.5;0.5
71;0.5;0.5
72;0.5;0.5
73;0.5;0.5
74;0.5;0.5
75;0.5;0.5
76;0.5;0.5
77;0.5;0.5
78;0.5;0.5
79;0.5;0.5
80;0.5;0.5
81;0.5;0.5
82;0.5;0.5
83;0.5;0.5
84;0.5;0.5
85;0.5;0.5
86;0.5;0.5
87;0.5;0.5
88;0.5;0.5
89;0.5;0.5
90;0.5;0.5
91;0.5;0.5
92;0.5;0.5
93;0.5;0.5
94;0.5;0.5
95;0.5;0.5
96;0.5;0.5
97;0.5;0.5
98;0.5;0.5
99;0.5;0.5
100;0.5;0.5
101;1;-0.70000005
102;0.5;0.5
103;0.5;0.5
104;0.5;0.5
105;1;-0.70000005
106;1;-0.70000005
107;1;-0.70000005
108;1;-0.70000005
109;0.5;0.5
110;0.5;0.5
111;0.5;0.5
112;1;-0.70000005
113;0.5;0.5
114;0.5;0.5
115;1;-0.70000005
116;0.5;0.5
117;1;-0.70000005
118;1;-0.70000005
119;0.5;0.5
120;1;-0.70000005
121;1;-0.70000005
122;1;-0.70000005
123;1;-0.70000005
124;0.5;0.5
125;1;-0.70000005
126;1;-0.70000005
127;1;-0.70000005
128;0.5;0.5
129;1;-0.70000005
130;0.5;0.5
131;1;-0.70000005
132;0.5;0.5
133;0.5;0.5
134;0.5;0.5
135;1;-0.70000005
136;0.5;0.5
137;1;-0.70000005
138;1;-0.70000005
139;0.5;0.5
140;0.5;0.5
141;1;-0.70000005
142;1;-0.70000005
143;0.5;0.5
144;0.5;0.5
145;1;-0.70000005
146;0.5;0.5
147;1;-0.70000005
148;0.5;0.5
149;0.5;0.5
150;0.5;0.5
151;0.5;0.5
152;1;-0.70000005
153;1;-0.70000005
154;1;-0.70000005
155;1;-0.70000005
156;1;-0.70000005
157;1;-0.70000005
158;0.5;0.5
159;1;-0.70000005
160;0.5;0.5
161;0.5;0.5
162;0.5;0.5
163;1;-0.70000005
164;1;-0.70000005
165;0.5;0.5
166;1;-0.70000005
167;1;-0.70000005
168;0.5;0.5
169;0.5;0.5
170;0.5;0.5
171;0.5;0.5
172;1;-0.70000005
173;1;-0.70000005
174;1;-0.70000005
175;1;-0.70000005
176;0.5;0.5
177;1;-0.70000005
178;1;-0.70000005
179;0.5;0.5
180;1;-0.70000005
181;0.5;0.5
182;0.5;0.5
183;0.5;0.5
184;1;-0.70000005
185;0.5;0.5
186;1;-0.70000005
187;0.5;0.5
188;1;-0.70000005
189;0.5;0.5
190;1;-0.70000005
191;0.5;0.5
192;0.5;0.5
193;1;-0.70000005
194;0.5;0.5
195;1;-0.70000005
196;1;-0.70000005
197;1;-0.70000005
198;1;-0.70000005
199;1;-0.70000005
200;1;-0.70000005
201;0.5;0.5
202;0.5;0.5
203;1;-0.70000005
204;1;-0.70000005
205;0.5;0.5
206;1;-0.70000005
207;1;-0.70000005
208;0.5;0.5
209;1;-0.70000005
210;1;-0.70000005
211;1;-0.70000005
212;1;-0.70000005
213;0.5;0.5
214;1;-0.70000005
215;0.5;0.5
216;0.5;0.5
217;0.5;0.5
218;1;-0.70000005
219;0.5;0.5
220;0.5;0.5
221;0.5;0.5
222;0.5;0.5
223;0.5;0.5
224;1;-0.70000005
225;0.5;0.5
226;0.5;0.5
227;1;-0.70000005
228;0.5;0.5
229;1;-0.70000005
230;1;-0.70000005
231;1;-0.70000005
232;1;-0.70000005
233;0.5;0.5
234;0.5;0.5
235;0.5;0.5
236;1;-0.70000005
237;0.5;0.5
238;1;-0.70000005
239;1;-0.70000005
240;1;-0.70000005
241;0.5;0.5
242;0.5;0.5
243;1;-0.70000005
244;0.5;0.5
245;1;-0.70000005
246;1;-0.70000005
247;0.5;0.5
248;0.5;0.5
249;1;-0.70000005
250;1;-0.70000005
251;1;-0.70000005
252;1;-0.70000005
253;0.5;0.5
254;0.5;0.5
255;0.5;0.5
256;1;-0.70000005
257;0.5;0.5
258;1;-0.70000005
259;0.5;0.5
260;1;-0.70000005
261;1;-0.70000005
262;1;-0.70000005
263;1;-0.70000005
264;0.5;0.5
265;0.5;0.5
266;0.5;0.5
267;1;-0.70000005
268;0.5;0.5
269;0.5;0.5
270;1;-0.70000005
271;0.5;0.5
272;1;-0.70000005
273;1;-0.70000005
274;0.5;0.5
275;0.5;0.5
276;1;-0.70000005
277;0.5;0.5
278;1;-0.70000005
279;1;-0.70000005
280;1;-0.70000005
281;0.5;0.5
282;1;-0.70000005
283;1;-0.70000005
284;0.5;0.5
285;0.5;0.5
286;1;-0.70000005
287;1;-0.70000005
288;0.5;0.5
289;1;-0.70000005
290;0.5;0.5
291;0.5;0.5
292;1;-0.70000005
293;0.5;0.5
294;1;-0.70000005
295;0.5;0.5
296;0.5;0.5
297;1;-0.70000005
298;1;-0.70000005
299;0.5;0.5
300;0.5;0.5
301;1;-0.70000005
302;1;-0.70000005
303;1;-0.70000005
304;0.5;0.5
305;1;-0.70000005
306;1;-0.70000005
307;1;-0.70000005
308;0.5;0.5
309;1;-0.70000005
310;0.5;0.5
311;0.5;0.5
312;1;-0.70000005
313;1;-0.70000005
314;0.5;0.5
315;0.5;0.5
316;1;-0.70000005
317;1;-0.70000005
318;0.5;0.5
319;0.5;0.5
320;1;-0.70000005
321;1;-0.70000005
322;1;-0.70000005
323;0.5;0.5
324;1;-0.70000005
325;1;-0.70000005
326;0.5;0.5
327;1;-0.70000005
328;0.5;0.5
329;0.5;0.5
330;0.5;0.5
331;1;-0.70000005
332;0.5;0.5
333;0.5;0.5
334;0.5;0.5
335;1;-0.70000005
336;1;-0.70000005
337;1;-0.70000005
338;1;-0.70000005
339;0.5;0.5
340;1;-0.70000005
341;0.5;0.5
342;0.5;0.5
343;0.5;0.5
344;1;-0.70000005
345;0.5;0.5
346;0.5;0.5
347;1;-0.70000005
348;0.5;0.5
349;0.5;0.5
350;1;-0.70000005
351;0.5;0.5
352;1;-0.70000005
353;1;-0.70000005
354;1;-0.70000005
355;1;-0.70000005
356;1;-0.70000005
357;0.5;0.5
358;1;-0.70000005
359;0.5;0.5
360;1;-0.70000005
361;1;-0.70000005
362;1;-0.70000005
363;0.5;0.5
364;1;-0.70000005
365;1;-0.70000005
366;0.5;0.5
367;1;-0.70000005
368;0.5;0.5
369;1;-0.70000005
370;1;-0.70000005
371;1;-0.70000005
372;0.5;0.5
373;0.5;0.5
374;0.5;0.5
375;0.5;0.5
376;1;-0.70000005
377;1;-0.70000005
378;0.5;0.5
379;0.5;0.5
380;1;-0.70000005
381;1;-0.70000005
382;1;-0.70000005
383;0.5;0.5
384;1;-0.70000005
385;1;-0.70000005
386;1;-0.70000005
387;1;-0.70000005
388;0.5;0.5
389;0.5;0.5
390;1;-0.70000005
391;1;-0.70000005
392;1;-0.70000005
393;0.5;0.5
394;1;-0.70000005
395;0.5;0.5
396;0.5;0.5
397;1;-0.70000005
398;0.5;0.5
399;1;-0.70000005
400;0.5;0.5
401;0.5;0.5
402;0.5;0.5
403;0.5;0.5
404;1;-0.70000005
405;1;-0.70000005
406;0.5;0.5
407;1;-0.70000005
408;1;-0.70000005
409;1;-0.70000005
410;1;-0.70000005
411;0.5;0.5
412;0.5;0.5
413;1;-0.70000005
414;0.5;0.5
415;1;-0.70000005
416;1;-0.70000005
417;1;-0.70000005
418;0.5;0.5
419;1;-0.70000005
420;1;-0.70000005
421;0.5;0.5
422;0.5;0.5
423;0.5;0.5
424;1;-0.70000005
425;0.5;0.5
426;0.5;0.5
427;1;-0.70000005
428;0.5;0.5
429;1;-0.70000005
430;1;-0.70000005
431;1;-0.70000005
432;1;-0.70000005
433;1;-0.70000005
434;1;-0.70000005
435;1;-0.70000005
436;0.5;0.5
437;1;-0.70000005
438;1;-0.70000005
439;0.5;0.5
440;1;-0.70000005
441;1;-0.70000005
442;0.5;0.5
443;1;-0.70000005
444;1;-0.70000005
