Hawk-Dove Simulation on 03-22 23-54-44
Iterations:;200
Seed used:;11960203

iteration;agentOneScore;agentTwoScore
0;-3;-3
1;-3;-3
2;100;0
3;50;50
4;0;100
5;50;50
6;0;100
7;100;0
8;50;50
9;0;100
10;100;0
11;100;0
12;50;50
13;100;0
14;-3;-3
15;50;50
16;100;0
17;0;100
18;50;50
19;0;100
20;0;100
21;50;50
22;-3;-3
23;100;0
24;100;0
25;100;0
26;100;0
27;100;0
28;-3;-3
29;100;0
30;-3;-3
31;100;0
32;100;0
33;-3;-3
34;100;0
35;-3;-3
36;100;0
37;-3;-3
38;100;0
39;100;0
40;100;0
41;100;0
42;-3;-3
43;100;0
44;100;0
45;100;0
46;100;0
47;100;0
48;100;0
49;100;0
50;100;0
51;100;0
52;-3;-3
53;100;0
54;100;0
55;100;0
56;50;50
57;100;0
58;100;0
59;-3;-3
60;-3;-3
61;50;50
62;0;100
63;50;50
64;100;0
65;100;0
66;100;0
67;100;0
68;100;0
69;100;0
70;-3;-3
71;100;0
72;-3;-3
73;100;0
74;-3;-3
75;-3;-3
76;0;100
77;100;0
78;-3;-3
79;100;0
80;-3;-3
81;-3;-3
82;50;50
83;-3;-3
84;-3;-3
85;100;0
86;50;50
87;-3;-3
88;0;100
89;50;50
90;0;100
91;0;100
92;0;100
93;50;50
94;50;50
95;-3;-3
96;100;0
97;0;100
98;-3;-3
99;-3;-3
100;0;100
101;0;100
102;0;100
103;-3;-3
104;0;100
105;-3;-3
106;0;100
107;50;50
108;50;50
109;0;100
110;0;100
111;-3;-3
112;0;100
113;0;100
114;0;100
115;0;100
116;-3;-3
117;0;100
118;0;100
119;-3;-3
120;0;100
121;-3;-3
122;0;100
123;0;100
124;0;100
125;0;100
126;0;100
127;-3;-3
128;-3;-3
129;0;100
130;0;100
131;-3;-3
132;0;100
133;0;100
134;0;100
135;0;100
136;0;100
137;0;100
138;-3;-3
139;-3;-3
140;0;100
141;-3;-3
142;50;50
143;0;100
144;0;100
145;-3;-3
146;100;0
147;0;100
148;50;50
149;0;100
150;0;100
151;0;100
152;0;100
153;0;100
154;-3;-3
155;0;100
156;-3;-3
157;0;100
158;-3;-3
159;0;100
160;0;100
161;50;50
162;-3;-3
163;50;50
164;0;100
165;0;100
166;100;0
167;50;50
168;0;100
169;-3;-3
170;0;100
171;0;100
172;0;100
173;0;100
174;0;100
175;0;100
176;0;100
177;50;50
178;50;50
179;50;50
180;50;50
181;0;100
182;0;100
183;0;100
184;50;50
185;50;50
186;50;50
187;0;100
188;50;50
189;50;50
190;50;50
191;50;50
192;50;50
193;0;100
194;50;50
195;50;50
196;50;50
197;50;50
198;50;50
199;50;50
